Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
MT345817,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: ID,Homo sapiens,,3/24/2020
MT345828,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: ID,Homo sapiens,,3/23/2020
MT345831,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29740,partial,USA: ID,Homo sapiens,,3/23/2020
MT345857,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29641,complete,USA: ID,Homo sapiens,,3/24/2020
MT345858,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: ID,Homo sapiens,,3/23/2020
MT345863,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29478,partial,USA: ID,Homo sapiens,,3/23/2020
MT345864,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29295,partial,USA: ID,Homo sapiens,,3/20/2020
MT345866,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,complete,USA: ID,Homo sapiens,,3/23/2020
MT345871,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: ID,Homo sapiens,,3/27/2020
MT345872,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,complete,USA: ID,Homo sapiens,,3/27/2020
MT345875,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,complete,USA: ID,Homo sapiens,,3/28/2020
MT345876,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,complete,USA: ID,Homo sapiens,,3/28/2020
MT345877,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: ID,Homo sapiens,,3/27/2020
MT345879,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,complete,USA: ID,Homo sapiens,,3/28/2020
MT345880,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,USA: ID,Homo sapiens,,3/28/2020
MT345884,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,complete,USA: ID,Homo sapiens,,3/29/2020
MT345885,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,complete,USA: ID,Homo sapiens,,3/30/2020
MT345886,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA: ID,Homo sapiens,,3/27/2020
MT345887,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA: ID,Homo sapiens,,3/29/2020
MT345888,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: ID,Homo sapiens,,3/29/2020
MT325577,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,Homo sapiens,oronasopharynx,3/7/2020
MT325578,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,Homo sapiens,oronasopharynx,3/7/2020
MT304482,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,Homo sapiens,oronasopharynx,3/1/2020
MT304483,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,Homo sapiens,oronasopharynx,3/1/2020
MT263428,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29778,complete,USA: IL,Homo sapiens,,3/13/2020
MT263429,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,complete,USA: IL,Homo sapiens,,3/13/2020
MT263433,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: IL,Homo sapiens,,3/13/2020
MT263460,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29755,partial,USA: IL,Homo sapiens,,3/12/2020
MT044257,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IL,Homo sapiens,"lung, oronasopharynx",1/28/2020
MN988713,2020-01-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: Illinois,Homo sapiens,"lung, oronasopharynx",1/21/2020
MT344950,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: IN,Homo sapiens,oronasopharynx,3/7/2020
MT344951,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: IN,Homo sapiens,,3/8/2020
MT344952,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: IN,Homo sapiens,oronasopharynx,3/9/2020
MT325579,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: IN,Homo sapiens,oronasopharynx,3/9/2020
MT325580,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: KS,Homo sapiens,oronasopharynx,3/6/2020
MT325581,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: LA,Homo sapiens,oronasopharynx,3/9/2020
MT325582,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/5/2020
MT325583,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325584,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325585,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325586,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/7/2020
MT325616,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325629,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/5/2020
MT325630,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/5/2020
MT325631,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/5/2020
MT325632,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/4/2020
MT325633,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/4/2020
MT325634,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/5/2020
MT325635,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325636,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325637,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325638,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT325639,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/7/2020
MT325640,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,3/6/2020
MT039888,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MA,Homo sapiens,oronasopharynx,1/29/2020
MT344953,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MD,Homo sapiens,oronasopharynx,3/4/2020
MT325587,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MD,Homo sapiens,oronasopharynx,3/4/2020
MT308692,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29789,partial,USA: MI,Homo sapiens,swab,3/9/2020
MT308693,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,partial,USA: MI,Homo sapiens,swab,3/10/2020
MT308694,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29757,partial,USA: MI,Homo sapiens,swab,3/11/2020
MT308695,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29765,partial,USA: MI,Homo sapiens,swab,3/10/2020
MT308696,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29767,partial,USA: MI,Homo sapiens,swab,3/9/2020
MT308697,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29789,partial,USA: MI,Homo sapiens,swab,3/11/2020
MT308698,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29783,partial,USA: MI,Homo sapiens,swab,3/12/2020
MT308699,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,USA: MI,Homo sapiens,swab,3/12/2020
MT308700,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,partial,USA: MI,Homo sapiens,swab,3/12/2020
MT344954,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MN,Homo sapiens,oronasopharynx,3/5/2020
MT344962,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29877,complete,USA: MN,Homo sapiens,oronasopharynx,3/7/2020
MT263406,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,complete,USA: MN,Homo sapiens,,3/13/2020
MT263415,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: MN,Homo sapiens,,3/13/2020
MT259258,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29657,complete,USA: MN,Homo sapiens,,3/13/2020
MT188339,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29783,complete,USA: MN,Homo sapiens,,3/9/2020
MT188340,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,USA: MN,Homo sapiens,,3/7/2020
MT188341,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,complete,USA: MN,Homo sapiens,,3/5/2020
MT325588,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: MO,Homo sapiens,oronasopharynx,3/6/2020
MT344963,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NC,Homo sapiens,,3/8/2020
MT325589,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NC,Homo sapiens,,3/8/2020
MT325590,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NC,Homo sapiens,oronasopharynx,3/7/2020
MT325591,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NC,Homo sapiens,oronasopharynx,3/6/2020
MT308702,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,complete,USA: NC,Homo sapiens,,2020-04
MT308703,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,complete,USA: NC,Homo sapiens,,2020-04
MT308704,2020-04-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,complete,USA: NC,Homo sapiens,,2020-04
MT325592,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NE,Homo sapiens,oronasopharynx,3/5/2020
MT325593,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NE,Homo sapiens,oronasopharynx,3/7/2020
MT325594,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,Homo sapiens,oronasopharynx,3/6/2020
MT325595,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,Homo sapiens,oronasopharynx,3/6/2020
MT304484,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,Homo sapiens,oronasopharynx,2/29/2020
MT304485,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NH,Homo sapiens,oronasopharynx,3/2/2020
MT325596,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NJ,Homo sapiens,oronasopharynx,3/4/2020
MT325622,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NJ,Homo sapiens,oronasopharynx,3/4/2020
MT300186,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,complete,USA: North Carolina,Homo sapiens,,4/2/2020
MT344961,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,complete,USA: NV,Homo sapiens,oronasopharynx,3/7/2020
MT325597,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NV,Homo sapiens,oronasopharynx,3/9/2020
MT325627,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NY,Homo sapiens,oronasopharynx,3/4/2020
MT304486,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: NY,Homo sapiens,oronasopharynx,3/2/2020
MT344955,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA: OH,Homo sapiens,oronasopharynx,3/8/2020
MT344956,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA: OH,Homo sapiens,oronasopharynx,3/7/2020
MT325598,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: OH,Homo sapiens,oronasopharynx,3/8/2020
MT345878,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA: OR,Homo sapiens,,3/29/2020
MT304487,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: OR,Homo sapiens,oronasopharynx,3/1/2020
MT276328,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: OR,Homo sapiens,oronasopharynx,2/27/2020
MT344957,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA: PA,Homo sapiens,"lung, oronasopharynx",3/7/2020
MT344958,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,USA: PA,Homo sapiens,oronasopharynx,3/7/2020
MT344959,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/8/2020
MT325599,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/5/2020
MT325600,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/5/2020
MT325601,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/7/2020
MT325602,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/8/2020
MT325603,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/9/2020
MT325604,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: PA,Homo sapiens,oronasopharynx,3/6/2020
MT344960,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: RI,Homo sapiens,oronasopharynx,3/9/2020
MT325605,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: RI,Homo sapiens,oronasopharynx,3/5/2020
MT304488,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: RI,Homo sapiens,oronasopharynx,3/1/2020
MT276323,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: RI,Homo sapiens,oronasopharynx,2/28/2020
MT258377,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT258378,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT258379,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT258380,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT258381,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT258382,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT258383,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,complete,"USA: San Francisco, CA",Homo sapiens,,3/18/2020
MT325606,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,oronasopharynx,3/6/2020
MT325607,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,oronasopharynx,3/7/2020
MT325608,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,oronasopharynx,3/8/2020
MT325623,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,"lung, oronasopharynx",3/5/2020
MT325624,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,oronasopharynx,3/7/2020
MT325625,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,oronasopharynx,3/7/2020
MT325626,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: SC,Homo sapiens,oronasopharynx,3/5/2020
MT152824,2020-03-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,complete,"USA: Snohomish County, WA",Homo sapiens,,2/24/2020
MT304489,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,Homo sapiens,oronasopharynx,2/29/2020
MT304490,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,Homo sapiens,oronasopharynx,3/1/2020
MT304491,2020-04-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,Homo sapiens,,3/1/2020
MT276331,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,Homo sapiens,oronasopharynx,2/29/2020
MT106054,2020-02-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: TX,Homo sapiens,"lung, oronasopharynx",2/11/2020
MT334522,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,partial,USA: UT,Homo sapiens,,3/5/2020
MT334523,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,complete,USA: UT,Homo sapiens,,3/5/2020
MT334524,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/5/2020
MT334525,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,partial,USA: UT,Homo sapiens,,3/7/2020
MT334526,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,complete,USA: UT,Homo sapiens,,3/7/2020
MT334527,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,partial,USA: UT,Homo sapiens,,3/11/2020
MT334528,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,USA: UT,Homo sapiens,,3/12/2020
MT334529,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: UT,Homo sapiens,,3/10/2020
MT334530,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,partial,USA: UT,Homo sapiens,,3/11/2020
MT334531,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,complete,USA: UT,Homo sapiens,,3/12/2020
MT334532,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,partial,USA: UT,Homo sapiens,,3/12/2020
MT334533,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,complete,USA: UT,Homo sapiens,,3/13/2020
MT334534,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,complete,USA: UT,Homo sapiens,,3/13/2020
MT334535,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,complete,USA: UT,Homo sapiens,,3/13/2020
MT334536,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,complete,USA: UT,Homo sapiens,,3/13/2020
MT334537,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,complete,USA: UT,Homo sapiens,,3/13/2020
MT334538,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: UT,Homo sapiens,,3/13/2020
MT334539,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,complete,USA: UT,Homo sapiens,,3/14/2020
MT334540,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,complete,USA: UT,Homo sapiens,,3/14/2020
MT334541,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,complete,USA: UT,Homo sapiens,,3/11/2020
MT334542,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: UT,Homo sapiens,,3/11/2020
MT334543,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/16/2020
MT334544,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: UT,Homo sapiens,,3/19/2020
MT334545,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,partial,USA: UT,Homo sapiens,,3/19/2020
MT334546,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,complete,USA: UT,Homo sapiens,,3/19/2020
MT334547,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,USA: UT,Homo sapiens,,3/19/2020
MT334548,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,partial,USA: UT,Homo sapiens,,3/20/2020
MT334549,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/12/2020
MT334550,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,partial,USA: UT,Homo sapiens,,3/14/2020
MT334551,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,partial,USA: UT,Homo sapiens,,3/14/2020
MT334552,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,partial,USA: UT,Homo sapiens,,3/23/2020
MT334553,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,partial,USA: UT,Homo sapiens,,3/24/2020
MT334554,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,partial,USA: UT,Homo sapiens,,3/19/2020
MT334555,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,partial,USA: UT,Homo sapiens,,3/20/2020
MT334556,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,partial,USA: UT,Homo sapiens,,3/20/2020
MT334557,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: UT,Homo sapiens,,3/20/2020
MT334558,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,partial,USA: UT,Homo sapiens,,3/19/2020
MT334559,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,partial,USA: UT,Homo sapiens,,3/24/2020
MT334560,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,partial,USA: UT,Homo sapiens,,3/25/2020
MT334561,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,complete,USA: UT,Homo sapiens,,3/26/2020
MT334562,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/25/2020
MT334563,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,partial,USA: UT,Homo sapiens,,3/26/2020
MT334564,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/25/2020
MT334565,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/26/2020
MT334566,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/25/2020
MT334567,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/26/2020
MT334568,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,partial,USA: UT,Homo sapiens,,3/27/2020
MT334569,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,partial,USA: UT,Homo sapiens,,3/27/2020
MT334570,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,partial,USA: UT,Homo sapiens,,3/26/2020
MT334571,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,partial,USA: UT,Homo sapiens,,3/26/2020
MT334572,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,partial,USA: UT,Homo sapiens,,3/27/2020
MT334573,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,partial,USA: UT,Homo sapiens,,3/30/2020
MT325609,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: UT,Homo sapiens,oronasopharynx,3/5/2020
MT325610,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,USA: UT,Homo sapiens,oronasopharynx,3/7/2020
MT350236,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,USA: VA,Homo sapiens,,2020-03
MT350237,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,complete,USA: VA,Homo sapiens,,2020-03
MT350238,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,complete,USA: VA,Homo sapiens,,2020-03
MT350239,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,complete,USA: VA,Homo sapiens,,2020-03
